# Time-averaged data for fix eout
# TimeStep v_etot c_watT
0 -3063.95 307.843
20 -3063.95 297.024
40 -3063.95 303.302
60 -3063.95 303.165
80 -3063.95 296.973
100 -3063.95 301.077
120 -3063.95 306.01
140 -3063.95 294.156
160 -3063.96 296.613
180 -3063.94 294.567
200 -3063.96 309.105
220 -3063.95 304.436
240 -3063.95 301.574
260 -3063.96 306.151
280 -3063.95 301.284
300 -3063.96 298.162
320 -3063.95 298.578
340 -3063.97 302.493
360 -3063.95 303.664
380 -3063.96 298.176
400 -3063.95 292.378
420 -3063.94 291.778
440 -3063.95 300.059
460 -3063.95 289.937
480 -3063.95 289.335
500 -3063.95 296.195
520 -3063.95 291.809
540 -3063.96 301.418
560 -3063.95 297.057
580 -3063.95 301.975
600 -3063.95 300.573
620 -3063.95 299.829
640 -3063.95 303.28
660 -3063.95 295.501
680 -3063.95 301.775
700 -3063.95 318.647
720 -3063.95 291.513
740 -3063.95 295.654
760 -3063.95 306.57
780 -3063.94 297.193
800 -3063.94 296.579
820 -3063.94 284.922
840 -3063.94 300.465
860 -3063.94 302.124
880 -3063.94 293.629
900 -3063.94 301.959
920 -3063.94 298.933
940 -3063.94 297.146
960 -3063.95 295.985
980 -3063.94 298.035
1000 -3063.94 299.714
1020 -3063.94 287.062
1040 -3063.95 300.853
1060 -3063.94 294.486
1080 -3063.95 301.909
1100 -3063.95 303.819
1120 -3063.96 301.647
1140 -3063.95 307.106
1160 -3063.95 313.495
1180 -3063.95 300.638
1200 -3063.95 299.102
1220 -3063.95 296.718
1240 -3063.95 293.844
1260 -3063.96 313.395
1280 -3063.95 300.202
1300 -3063.95 298.007
1320 -3063.95 298.149
1340 -3063.95 302.268
1360 -3063.95 299.474
1380 -3063.95 294.321
1400 -3063.95 313.255
1420 -3063.95 308.533
1440 -3063.95 298.263
1460 -3063.95 299.854
1480 -3063.95 298.627
1500 -3063.95 300.214
1520 -3063.95 300.907
1540 -3063.95 296.973
1560 -3063.94 294.586
1580 -3063.94 294.135
1600 -3063.94 291.708
1620 -3063.94 302.171
1640 -3063.94 298.112
1660 -3063.95 303.547
1680 -3063.95 294.591
1700 -3063.95 302.857
1720 -3063.95 307.481
1740 -3063.95 292.792
1760 -3063.95 306.83
1780 -3063.95 298.052
1800 -3063.94 300.607
1820 -3063.94 300.088
1840 -3063.94 294.839
1860 -3063.94 295.964
1880 -3063.94 296.722
1900 -3063.95 289.279
1920 -3063.94 297.26
1940 -3063.94 296.978
1960 -3063.95 298.617
1980 -3063.94 299.459
2000 -3063.95 297.492
2020 -3063.95 303.28
2040 -3063.95 313.601
2060 -3063.94 297.578
2080 -3063.94 286.303
2100 -3063.94 284.054
2120 -3063.94 297.226
2140 -3063.94 287.275
2160 -3063.95 297.634
2180 -3063.94 288.976
2200 -3063.94 295.845
2220 -3063.94 292.7
2240 -3063.95 293.428
2260 -3063.95 302.714
2280 -3063.94 292.854
2300 -3063.97 300.303
2320 -3063.94 289.959
2340 -3063.96 301.615
2360 -3063.94 293.588
2380 -3063.95 299.501
2400 -3063.94 297.156
2420 -3063.95 295.919
2440 -3063.94 294.436
2460 -3063.95 302.214
2480 -3063.94 296.203
2500 -3063.94 291.84
2520 -3063.95 300.092
2540 -3063.94 305.858
2560 -3063.94 301.472
2580 -3063.95 300.458
2600 -3063.94 301.597
2620 -3063.94 295.598
2640 -3063.94 302.698
2660 -3063.94 297.286
2680 -3063.94 294.955
2700 -3063.94 293.017
2720 -3063.94 295.456
2740 -3063.94 302.486
2760 -3063.94 310.859
2780 -3063.94 305.211
2800 -3063.94 303.356
2820 -3063.94 298.128
2840 -3063.94 296.337
2860 -3063.94 300.083
2880 -3063.94 289.556
2900 -3063.94 301.651
2920 -3063.94 310.725
2940 -3063.94 300.386
2960 -3063.94 299.679
2980 -3063.94 308.824
3000 -3063.94 304.381
3020 -3063.94 307.552
3040 -3063.94 306.749
3060 -3063.94 291.716
3080 -3063.94 304.86
3100 -3063.94 310.507
3120 -3063.94 301.681
3140 -3063.94 292.657
3160 -3063.94 298.458
3180 -3063.94 295.31
3200 -3063.94 293.608
3220 -3063.94 296.91
3240 -3063.94 301.99
3260 -3063.94 295.687
3280 -3063.94 305.773
3300 -3063.94 298.172
3320 -3063.94 300.128
3340 -3063.95 299.447
3360 -3063.94 296.133
3380 -3063.94 293.802
3400 -3063.94 284.704
3420 -3063.95 282.186
3440 -3063.94 306.895
3460 -3063.94 293.682
3480 -3063.93 279.042
3500 -3063.93 292.804
3520 -3063.94 291.253
3540 -3063.93 290.982
3560 -3063.94 300.575
3580 -3063.94 303.584
3600 -3063.95 307.442
3620 -3063.94 298.079
3640 -3063.93 294.694
3660 -3063.93 298.78
3680 -3063.93 299.724
3700 -3063.93 301.986
3720 -3063.95 300.104
3740 -3063.93 293.918
3760 -3063.94 285.669
3780 -3063.93 294.853
3800 -3063.93 295.878
3820 -3063.93 289.725
3840 -3063.93 294.96
3860 -3063.93 283.441
3880 -3063.93 292.713
3900 -3063.93 300.725
3920 -3063.93 302.389
3940 -3063.93 297.801
3960 -3063.93 299.179
3980 -3063.93 302.975
4000 -3063.93 310.006
4020 -3063.93 315.218
4040 -3063.93 301.461
4060 -3063.93 297.902
4080 -3063.93 288.155
4100 -3063.93 283.351
4120 -3063.93 296.083
4140 -3063.94 296.857
4160 -3063.93 304.731
4180 -3063.93 296.303
4200 -3063.93 301.464
4220 -3063.93 290.799
4240 -3063.93 295.984
4260 -3063.93 299.002
4280 -3063.94 300.313
4300 -3063.93 295.31
4320 -3063.95 299.188
4340 -3063.93 296.835
4360 -3063.95 307.88
4380 -3063.93 295.098
4400 -3063.93 283.837
4420 -3063.93 299.003
4440 -3063.93 288.625
4460 -3063.93 293.375
4480 -3063.93 300.156
4500 -3063.93 292.998
4520 -3063.92 285.172
4540 -3063.93 289.63
4560 -3063.94 283.179
4580 -3063.93 291.981
4600 -3063.93 288.042
4620 -3063.93 288.944
4640 -3063.93 287.21
4660 -3063.93 297.967
4680 -3063.93 287.577
4700 -3063.93 290.912
4720 -3063.93 295.598
4740 -3063.93 305.048
4760 -3063.93 299.976
4780 -3063.93 312.143
4800 -3063.93 304.205
4820 -3063.92 294.601
4840 -3063.94 298.1
4860 -3063.93 302.586
4880 -3063.93 312.096
4900 -3063.93 301.054
4920 -3063.93 305.407
4940 -3063.94 296.157
4960 -3063.93 304.809
4980 -3063.93 299.692
5000 -3063.93 299.571
5020 -3063.93 304.928
5040 -3063.93 292.243
5060 -3063.93 289.714
5080 -3063.93 296.609
5100 -3063.93 294.899
5120 -3063.93 294.766
5140 -3063.93 298.525
5160 -3063.93 289.021
5180 -3063.94 300.413
5200 -3063.93 290.635
5220 -3063.94 306.273
5240 -3063.94 310.483
5260 -3063.93 295.867
5280 -3063.94 301.988
5300 -3063.94 295.853
5320 -3063.94 304.171
5340 -3063.94 307.771
5360 -3063.94 293.163
5380 -3063.94 296.457
5400 -3063.93 301.055
5420 -3063.93 293.588
5440 -3063.94 305.658
5460 -3063.93 306.022
5480 -3063.93 301.89
5500 -3063.93 298.085
5520 -3063.93 302.051
5540 -3063.93 295.281
5560 -3063.93 305.238
5580 -3063.93 305.571
5600 -3063.93 305.772
5620 -3063.93 300.581
5640 -3063.93 309.516
5660 -3063.93 303.875
5680 -3063.93 290.062
5700 -3063.93 291.361
5720 -3063.92 293.844
5740 -3063.93 298.618
5760 -3063.92 289.249
5780 -3063.93 294.991
5800 -3063.92 293.123
5820 -3063.93 297.582
5840 -3063.93 295.62
5860 -3063.93 300.935
5880 -3063.94 302.543
5900 -3063.93 293.191
5920 -3063.93 302.216
5940 -3063.93 293.345
5960 -3063.93 289.662
5980 -3063.93 293.907
6000 -3063.93 300.805
6020 -3063.93 295.906
6040 -3063.93 303.34
6060 -3063.94 304.057
6080 -3063.93 303.927
6100 -3063.93 295.525
6120 -3063.93 296.963
6140 -3063.93 288.898
6160 -3063.92 290.516
6180 -3063.93 292.119
6200 -3063.93 298.646
6220 -3063.93 305.609
6240 -3063.93 301.955
6260 -3063.93 299.949
6280 -3063.93 306.641
6300 -3063.94 293.688
6320 -3063.94 296.696
6340 -3063.93 293.454
6360 -3063.93 295.947
6380 -3063.93 292.083
6400 -3063.93 294.353
6420 -3063.93 301.995
6440 -3063.93 294.345
6460 -3063.93 295.233
6480 -3063.93 296.471
6500 -3063.93 297.029
6520 -3063.93 291.53
6540 -3063.94 305.127
6560 -3063.94 306.019
6580 -3063.93 300.613
6600 -3063.93 305.044
6620 -3063.93 295.589
6640 -3063.93 297.699
6660 -3063.93 304.365
6680 -3063.93 306.423
6700 -3063.93 302.368
6720 -3063.93 309.31
6740 -3063.93 312.729
6760 -3063.93 306.501
6780 -3063.93 309.022
6800 -3063.93 302.545
6820 -3063.93 293.501
6840 -3063.93 290.393
6860 -3063.93 295.568
6880 -3063.93 292.044
6900 -3063.94 308.555
6920 -3063.94 314.182
6940 -3063.93 304.744
6960 -3063.95 303.261
6980 -3063.93 303.44
7000 -3063.93 296.414
7020 -3063.93 299.13
7040 -3063.95 303.621
7060 -3063.94 303.013
7080 -3063.94 297.789
7100 -3063.94 295.555
7120 -3063.93 298.57
7140 -3063.93 295.692
7160 -3063.94 299.237
7180 -3063.93 298.219
7200 -3063.93 295.532
7220 -3063.93 299.017
7240 -3063.93 297.8
7260 -3063.93 299.539
7280 -3063.93 290.176
7300 -3063.93 296.748
7320 -3063.93 297.601
7340 -3063.94 302.634
7360 -3063.93 295.558
7380 -3063.93 303.244
