# Time-averaged data for fix msdout
# TimeStep c_msdb[4] c_msdt[4]
0 0 0
100 0.0540815 0.0565432
200 0.0434755 0.0527604
300 0.038479 0.0453435
400 0.0423627 0.0531202
500 0.0404874 0.0487501
600 0.0391045 0.0450466
700 0.0410789 0.0444341
800 0.0352621 0.0423471
900 0.0441843 0.0463458
1000 0.0434264 0.0497547
1100 0.0407573 0.0470336
1200 0.0412285 0.0438122
1300 0.0419809 0.0462599
1400 0.0388311 0.0481296
1500 0.0372034 0.0446745
1600 0.0439009 0.0453999
1700 0.0410572 0.046377
1800 0.0407551 0.048022
1900 0.0422517 0.0449875
2000 0.0415651 0.044812
2100 0.0394188 0.0456374
2200 0.0462166 0.0434372
2300 0.041756 0.0433782
2400 0.0450681 0.0451144
2500 0.041778 0.0437186
2600 0.0403024 0.0457453
2700 0.0440989 0.0497096
2800 0.0395286 0.048331
2900 0.0377212 0.047789
3000 0.042386 0.0433944
3100 0.0458143 0.0430339
3200 0.0420185 0.0416177
3300 0.041525 0.0449817
3400 0.0451566 0.0482793
3500 0.0447948 0.0488333
3600 0.0402221 0.0414993
3700 0.0456551 0.0430346
3800 0.046975 0.0491889
3900 0.0370753 0.0485019
4000 0.0421657 0.0455838
4100 0.0428196 0.0487677
4200 0.0426627 0.0480717
4300 0.0433658 0.0444932
4400 0.0430039 0.0465626
4500 0.0444007 0.0482218
4600 0.0416582 0.0417582
4700 0.0395616 0.0461336
4800 0.04238 0.051641
4900 0.0387238 0.0510366
5000 0.042626 0.0487009
5100 0.042101 0.0458081
5200 0.0390103 0.044976
5300 0.0408767 0.0429845
5400 0.039178 0.0408428
5500 0.0376341 0.0474605
5600 0.0447851 0.0501235
5700 0.0445155 0.0441716
5800 0.0385883 0.0437897
5900 0.0411714 0.0476289
6000 0.0381275 0.0463954
6100 0.0393131 0.0452149
6200 0.0402188 0.0471622
6300 0.0436905 0.0475425
6400 0.0438715 0.0477094
6500 0.0367104 0.0445554
6600 0.0432236 0.0438915
6700 0.0436695 0.0463839
6800 0.0427254 0.0450543
6900 0.0427202 0.050466
7000 0.0425208 0.0435459
7100 0.040625 0.0445771
7200 0.0459841 0.0437106
7300 0.0386111 0.0484397
7400 0.0408028 0.0477522
7500 0.0431741 0.0476515
7600 0.0398833 0.0476613
7700 0.0413526 0.0460521
7800 0.0403196 0.0454726
7900 0.0404745 0.044118
8000 0.0402697 0.0450566
8100 0.0428462 0.042887
8200 0.0422301 0.048553
8300 0.0364707 0.045569
8400 0.0384937 0.0479938
8500 0.0404956 0.0476641
8600 0.0393123 0.0526025
8700 0.0436998 0.0480021
8800 0.0395 0.0458516
8900 0.0440995 0.0419261
9000 0.0385876 0.0434229
9100 0.041633 0.0470308
9200 0.0379817 0.0520269
9300 0.040372 0.0488609
9400 0.0419347 0.0454767
9500 0.0456342 0.0432926
9600 0.0399093 0.0405285
9700 0.0396305 0.0466505
9800 0.0394513 0.0491079
9900 0.0414339 0.0476505
10000 0.0429538 0.0455723
10100 0.0392592 0.0443494
10200 0.0405454 0.0464151
10300 0.0469965 0.0508321
10400 0.0413151 0.0475626
10500 0.0398343 0.0488455
10600 0.0372653 0.0456986
10700 0.0451137 0.0436434
10800 0.0425832 0.0434861
10900 0.0406828 0.0471571
11000 0.0395054 0.0427943
