# Time-averaged data for fix tout
# TimeStep c_watT
0 303.127
100 310.399
200 309.929
300 295.023
400 301.171
500 310.791
600 313.712
700 308.381
800 303.262
900 298.938
1000 310.192
1100 295.126
1200 293.805
1300 294.996
1400 294.211
1500 295.09
1600 295.357
1700 298.685
1800 304.272
1900 304.395
2000 313.466
2100 300.855
2200 307.904
2300 289.152
2400 301.511
2500 296.455
2600 315.43
2700 296.148
2800 299.128
2900 300.059
3000 291.954
3100 310.693
3200 299.74
3300 295.179
3400 299.731
3500 308.797
3600 299.009
3700 289.824
3800 308.669
3900 305.61
4000 308.097
4100 304.849
4200 299.991
4300 311.08
4400 307.642
4500 296.05
4600 312.326
4700 304.286
4800 308.539
4900 304.01
5000 296.321
5100 308.67
5200 302.904
5300 305.31
5400 300.257
5500 314.125
5600 305.811
5700 310.735
5800 308.214
5900 301.614
6000 308.19
6100 317.762
6200 310.317
6300 310.916
6400 300.903
6500 302.181
6600 296.596
6700 310.231
6800 307.46
6900 299.985
7000 308.338
7100 315.022
7200 295.533
7300 306.989
7400 301.101
7500 304.921
7600 312.695
7700 307.503
7800 320.127
7900 314.943
8000 318.318
8100 302.724
8200 305.964
8300 307.71
8400 305.558
8500 297.453
8600 309.106
8700 306.818
8800 304.691
8900 306.61
9000 311.476
9100 312.946
9200 300.668
9300 307.671
9400 315.35
9500 311.835
9600 315.13
9700 307.357
9800 306.274
9900 309.356
10000 306.772
10100 308.844
10200 305.82
10300 300.194
10400 310.323
10500 287.96
10600 310.065
10700 306.802
10800 295.731
10900 300.6
11000 294.891
11100 308.9
11200 311.016
11300 303.047
11400 306.154
11500 291.251
11600 305.702
11700 303.533
11800 296.602
11900 293.683
12000 309.008
12100 302.482
12200 302.056
12300 299.38
12400 305.93
12500 304.38
12600 319.904
12700 304.318
12800 303.275
12900 301.469
13000 307.735
13100 306.441
13200 313.384
13300 296.702
13400 306.013
13500 301.682
13600 304.722
13700 299.661
13800 309.323
13900 301.181
14000 306.719
14100 303.295
14200 308.023
14300 296.995
14400 298.278
14500 305.121
14600 306.206
14700 301.424
14800 308.109
14900 309.573
15000 310.861
15100 312.725
15200 296.239
15300 324.863
15400 313.092
15500 313.958
15600 295.317
15700 297.052
15800 302.82
15900 307.04
16000 300.967
16100 318.117
16200 298.915
16300 305.395
16400 310.31
16500 312.66
16600 308.412
16700 307.725
16800 296.416
16900 304.856
17000 309.343
17100 309.629
17200 303.056
17300 301.04
17400 317.137
17500 299.803
17600 308.439
17700 302.533
17800 306.885
17900 312.863
18000 303.408
18100 296.236
18200 310.939
18300 293.206
18400 307.483
18500 297.668
18600 305.084
18700 299.061
18800 318.903
18900 304.603
19000 302.847
19100 291.847
19200 305.967
19300 303.499
19400 304.929
19500 305.107
19600 301.494
19700 296.26
19800 294.233
19900 296.499
20000 298.591
20100 314.608
20200 308.163
20300 313.461
20400 303.818
20500 304.433
20600 303.032
20700 308.282
20800 316.9
20900 296.899
21000 311.451
21100 304.846
21200 303.601
21300 301.23
21400 295.727
21500 292.747
21600 304.872
21700 309.682
21800 307.564
21900 305.439
22000 302.77
22100 299.733
22200 304.974
22300 300.389
22400 303.318
22500 305.99
22600 307.989
22700 294.369
22800 305.555
22900 303.052
23000 302.13
23100 304.049
23200 314.515
23300 302.988
23400 301.827
23500 293.993
23600 298.947
23700 309.004
23800 299.274
23900 314.523
24000 295.426
24100 297.787
24200 301.364
24300 294.993
24400 298.243
24500 298.147
24600 301.164
24700 305.456
24800 304.375
24900 303.857
25000 303.893
25100 310.053
25200 300.411
25300 313.468
25400 312.2
25500 300.485
25600 303.725
25700 303.513
25800 315.104
25900 323.122
26000 310.615
26100 306.382
26200 304.104
26300 303.869
26400 296.755
26500 303.154
26600 300.109
26700 291.785
26800 308.488
26900 304.179
27000 311.664
27100 307.55
27200 302.768
27300 303.488
27400 310.56
27500 300.258
27600 310.225
27700 304.815
27800 301.58
27900 306.102
28000 292.772
28100 298.748
28200 309.14
28300 308.498
28400 305.387
28500 323.126
28600 313.502
28700 313.301
28800 316.221
28900 302.226
29000 300.492
29100 301.957
29200 307.298
29300 300.103
29400 302.677
29500 301.483
29600 292.545
29700 300.14
29800 302.748
29900 283.831
30000 302.877
30100 310.607
30200 314.23
30300 296.064
30400 311.928
30500 304.605
30600 317.358
30700 300.245
30800 305.65
30900 300.704
31000 298.437
31100 307.71
31200 301.866
31300 312.271
31400 306.227
31500 302.902
31600 295.8
31700 301.59
31800 302.89
31900 307.915
32000 294.417
32100 307.397
32200 297.415
32300 296.993
32400 300.54
32500 298.115
32600 293.172
32700 303.971
32800 296.396
32900 304.821
33000 301.535
33100 305
33200 296.616
33300 297.582
33400 303.478
33500 301.516
33600 295.919
33700 312.744
33800 296.307
33900 307.076
34000 298.274
34100 301.328
34200 297.61
34300 296.992
34400 300.012
34500 298.722
34600 300.468
34700 293.252
34800 299.432
34900 305.198
35000 293.426
35100 295.513
35200 311.902
35300 299.372
35400 294.931
35500 297.151
35600 306.032
35700 294.58
35800 306.727
35900 303.764
36000 297.938
36100 299.392
36200 299.465
36300 306.636
36400 304.221
36500 306.344
36600 294.514
36700 304.839
36800 297.006
36900 304.748
37000 299.433
37100 299.62
37200 304.946
37300 300.365
37400 309.151
37500 293.307
37600 304.742
37700 304.011
37800 296.983
37900 297.327
38000 295.386
38100 299.025
38200 305.014
38300 295.857
38400 298.21
38500 297.568
38600 293.645
38700 298.891
38800 302.564
38900 306.935
39000 302.503
39100 295.226
39200 321.123
39300 312.301
39400 300.511
39500 296.716
39600 306.577
39700 294.084
39800 300.52
39900 302.759
40000 304.699
40100 297.689
40200 295.051
40300 291.531
40400 296.006
40500 300.479
40600 295.799
40700 296.166
40800 292.918
40900 308.68
41000 301.98
41100 295.454
41200 292.941
41300 298.582
41400 296.867
41500 297.423
41600 295.514
41700 304.462
41800 299.687
41900 296.088
42000 298.387
42100 303.759
42200 302.877
42300 304.144
42400 304.93
42500 306.772
42600 301.959
42700 307.333
42800 294.012
42900 299.926
43000 304.752
43100 289.515
43200 300.832
43300 292.252
43400 295.446
43500 297.974
43600 301.907
43700 303.418
43800 294.72
43900 299.564
44000 293.053
44100 299.292
44200 305.458
44300 301.995
44400 305.733
44500 302.304
44600 292.227
44700 288.689
44800 307.564
44900 300.733
45000 296.861
45100 292.153
45200 305.01
45300 295.292
45400 303.661
45500 298.682
45600 308.062
45700 300.581
45800 296.315
45900 293.313
46000 310.617
46100 295.964
46200 302.486
46300 301.899
46400 297.926
46500 300.754
46600 301.893
46700 299.342
46800 310.753
46900 295.906
47000 312.791
47100 301.577
47200 309.724
47300 306.285
47400 299.127
47500 313.921
47600 304.118
47700 310.795
47800 301.054
47900 293.997
48000 304.378
48100 294.655
48200 298.567
48300 297.648
48400 308.288
48500 296.848
48600 293.743
48700 298.05
48800 300.177
48900 294.807
49000 299.459
49100 297.899
49200 297.066
49300 308.107
49400 305.4
49500 294.885
49600 284.694
49700 304.51
49800 304.085
49900 306.073
50000 297.452
50100 297.354
50200 296.973
50300 295.682
50400 290.756
50500 295.627
50600 289.455
50700 295.531
50800 297.968
50900 295.635
51000 291.489
51100 312.901
51200 288.589
51300 286.863
51400 287.534
51500 297.403
51600 301.78
51700 293.923
51800 310.791
51900 289.915
52000 283.601
52100 288.669
52200 289.184
52300 296.848
52400 299.683
52500 293.866
52600 283.845
