# Time-averaged data for fix fheat
# TimeStep f_bbot f_btop
0 0 0
100 -0.0276209 -0.157585
200 -0.912863 0.47016
300 -0.479425 -0.65933
400 -1.12803 -0.300827
500 -0.698385 -1.65978
600 -0.151854 -2.67026
700 -0.886698 -0.324228
800 -0.322199 0.583131
900 -1.05429 0.0833622
1000 -1.56213 -0.446332
1100 -0.954589 -0.908629
1200 -2.05877 0.00897626
1300 -0.185324 0.097664
1400 -0.448915 1.72236
1500 -2.06701 0.171392
1600 -0.688487 0.185525
1700 -0.121936 0.666563
1800 0.109451 0.0300638
1900 -2.44138 -0.0317237
2000 -2.84715 0.559479
2100 -2.26968 0.679006
2200 -1.42532 0.306143
2300 -0.363272 -0.0615755
2400 -0.122813 0.368541
2500 -2.24233 0.900869
2600 -2.751 1.51871
2700 -2.70904 0.971218
2800 -1.0713 1.15217
2900 -1.43708 0.859358
3000 -1.31419 0.813678
3100 -1.03897 0.223745
3200 -1.79242 0.390308
3300 -2.09328 0.911326
3400 -0.526226 1.2171
3500 -1.71664 1.12092
3600 -2.69601 2.26029
3700 -1.56954 0.738586
3800 -1.03302 1.10147
3900 -2.80607 1.95399
4000 -1.35428 1.46435
4100 -0.920649 0.781981
4200 -0.210818 1.19101
4300 -2.2573 1.20105
4400 -1.23032 0.884755
4500 -1.45712 0.721485
4600 -0.838155 0.197401
4700 -1.99596 1.32513
4800 -0.698001 1.81661
4900 -1.28388 1.95916
5000 -2.30776 0.0631503
5100 -2.55993 1.60849
5200 -0.492558 2.17391
5300 -0.74633 2.10806
5400 -2.30247 0.649933
5500 -1.18822 -0.141761
5600 -1.36728 1.25631
5700 -2.18009 1.72628
5800 -2.1032 2.09122
5900 -1.86958 1.18608
6000 -0.933138 1.1176
6100 -0.702552 0.836775
6200 -1.1627 0.743193
6300 -1.23285 0.860916
6400 -2.26077 0.382791
6500 -0.248707 1.36149
6600 -0.793 2.15323
6700 -3.07551 1.52519
6800 -2.73438 1.18567
6900 -0.958947 1.03587
7000 -1.21639 1.28243
7100 -1.82736 1.92818
7200 -2.2236 0.593831
7300 -1.78874 0.456098
7400 -1.46452 0.0817011
7500 -1.16918 0.261514
7600 -2.3809 1.10331
7700 -3.09188 0.685956
7800 -2.24687 0.521607
7900 -1.18072 0.596946
8000 -0.989164 2.42212
8100 -1.82542 0.566868
8200 -2.10377 2.05214
8300 -1.97371 3.03841
8400 -2.421 2.60018
8500 -2.30626 1.48803
8600 -2.72124 1.76789
8700 -2.08001 0.578309
8800 -1.55072 0.932429
8900 -1.96663 2.37296
9000 -2.42259 0.39371
9100 -2.56599 0.172699
9200 -2.60368 1.18658
9300 -3.57054 1.84878
9400 -3.59144 1.17644
9500 -3.27981 1.76702
9600 -3.25479 1.29508
9700 -3.08395 1.65533
9800 -4.93537 0.587981
9900 -4.01444 0.613001
10000 -4.31607 0.890632
10100 -2.66735 1.61929
10200 -3.56989 1.13551
10300 -3.5407 2.38185
10400 -4.11963 2.97443
10500 -3.35161 3.70376
10600 -3.69578 1.72241
10700 -2.89719 1.83513
10800 -0.282007 1.2546
10900 -1.90353 0.765246
11000 -3.29956 1.62004
11100 -2.56934 1.05453
11200 -2.9656 1.72621
11300 -3.82364 1.03619
11400 -4.36508 1.77991
11500 -4.6505 0.890484
11600 -4.61099 0.712184
11700 -4.69383 2.26813
11800 -3.31437 2.47642
11900 -4.41572 2.11509
12000 -4.59818 1.40589
12100 -3.83198 2.14789
12200 -4.36074 0.379001
12300 -4.78449 2.07414
12400 -3.46287 2.41121
12500 -3.05282 3.35154
12600 -3.63607 2.3295
12700 -3.46733 3.02598
12800 -3.6333 2.65928
12900 -3.37582 2.52042
13000 -4.04822 2.83215
13100 -3.09071 2.20487
13200 -2.8388 1.26514
13300 -2.8546 1.5639
13400 -4.39951 1.61508
13500 -3.41404 1.2574
13600 -3.44727 2.28204
13700 -4.14078 2.19071
13800 -3.96824 1.80418
13900 -4.64606 2.02541
14000 -4.4783 1.73801
14100 -5.08456 2.06812
14200 -5.12888 1.32798
14300 -5.37584 2.67869
14400 -2.61704 3.03869
14500 -3.19516 2.77571
14600 -2.25435 3.69185
14700 -2.30638 3.15883
14800 -5.77983 1.87087
14900 -3.34024 2.45577
15000 -3.15965 1.04632
15100 -3.41857 1.86056
15200 -2.98164 2.04771
15300 -3.5643 2.20562
15400 -3.78072 1.25508
15500 -2.84771 1.57304
15600 -4.45021 2.28974
15700 -3.61059 3.38866
15800 -3.3776 3.37525
15900 -4.87881 2.67375
16000 -3.90743 1.81134
16100 -4.66502 1.52293
16200 -4.72504 2.50366
16300 -4.95231 0.588817
16400 -4.61088 1.88595
16500 -2.6941 2.33985
16600 -3.62694 2.87279
16700 -4.08198 2.36326
16800 -4.70598 2.84784
16900 -3.25026 3.53327
17000 -3.46958 2.94677
17100 -3.93553 2.61496
17200 -5.72605 3.14691
17300 -2.55828 2.6847
17400 -4.16229 1.82328
17500 -4.12556 3.18836
17600 -3.90086 2.90012
17700 -4.47866 3.56799
17800 -3.94946 3.14442
17900 -3.89757 2.10265
18000 -3.23441 2.89136
18100 -3.23936 3.66873
18200 -3.7614 2.59522
18300 -3.71 2.48489
18400 -3.21062 3.07788
18500 -2.01197 3.85215
18600 -3.18784 3.09381
18700 -3.51229 3.53165
18800 -2.94075 2.30219
18900 -3.37784 3.07256
19000 -2.12633 2.20743
19100 -3.80305 1.43061
19200 -3.0828 3.15331
19300 -2.1221 2.34784
19400 -3.91193 2.29595
19500 -3.32035 2.26156
19600 -2.55906 2.90078
19700 -2.78395 1.88246
19800 -3.07202 1.66326
19900 -3.40136 3.05359
20000 -2.66335 4.01254
20100 -3.90337 3.68454
20200 -2.04307 3.01593
20300 -1.96082 2.2244
20400 -2.39436 3.55695
20500 -3.02892 3.11519
20600 -3.92449 3.30323
20700 -3.42319 2.02839
20800 -3.46438 2.80662
20900 -3.65899 2.15677
21000 -1.77644 1.42803
21100 -0.622271 1.58436
21200 -1.88491 0.985679
21300 -1.66118 2.36945
21400 -2.20319 2.64085
21500 -1.48363 3.24483
21600 -1.67479 1.81959
21700 -2.00081 1.3476
21800 -2.84381 2.86228
21900 -1.29849 2.83194
22000 -1.2681 3.64795
22100 -2.95242 3.82755
22200 -2.62914 3.88649
22300 -1.89914 2.54627
22400 -3.88013 2.39505
22500 -3.20639 1.96776
22600 -3.06887 3.72964
22700 -3.39894 2.51727
22800 -3.49216 2.33095
22900 -3.85899 3.18689
23000 -2.75953 3.35477
23100 -2.0422 3.82341
23200 -2.61781 4.03369
23300 -2.15499 3.74559
23400 -3.26888 3.66164
23500 -2.45071 2.67857
23600 -1.86787 1.92448
23700 -2.26186 0.770395
23800 -2.70551 1.84629
23900 -3.43877 1.95843
24000 -3.2091 1.98018
24100 -3.09271 2.79224
24200 -2.85163 2.84115
24300 -2.58147 3.26757
24400 -2.62093 3.35971
24500 -4.49533 3.50801
24600 -4.4345 3.09149
24700 -2.39319 2.94625
24800 -2.90823 2.79857
24900 -2.61785 2.54027
25000 -3.05088 2.40382
25100 -2.91788 3.25671
25200 -2.77648 3.19889
25300 -3.48862 3.05458
25400 -2.08269 2.80746
25500 -1.69444 2.28775
25600 -1.25781 3.75245
25700 -2.36895 2.66457
25800 -2.60834 2.3763
25900 -3.5175 2.54114
26000 -3.21997 2.46948
26100 -2.34289 2.13443
26200 -1.37731 4.02771
26300 -2.39304 4.57056
26400 -3.83049 3.37384
26500 -4.4685 4.35776
26600 -2.7215 4.84308
26700 -3.06496 3.70274
26800 -3.16414 2.64086
26900 -2.67569 3.71312
27000 -3.30101 4.26302
27100 -3.36801 3.34443
27200 -2.60302 3.4579
27300 -3.01488 3.85032
27400 -2.54614 2.40252
27500 -1.93927 3.05305
27600 -3.82983 2.96188
