# Time-averaged data for fix tout
# TimeStep c_watT
0 300.757
100 292.832
200 291.297
300 294.868
400 299.217
500 304.763
600 292.217
700 301.699
800 292.18
900 309.684
1000 302.389
1100 299.822
1200 296.473
1300 302.311
1400 299.975
1500 298.939
1600 289.016
1700 294.896
1800 298.927
1900 301.536
2000 288.627
2100 300.534
2200 292.291
2300 299.64
2400 309.359
2500 291.95
2600 291.311
2700 286.998
2800 298.23
2900 299.656
3000 301.23
3100 300.384
3200 302.976
3300 296.55
3400 296.281
3500 292.12
3600 294.912
3700 309.731
3800 312.436
3900 299.664
4000 306.347
4100 304.742
4200 294.92
4300 291.75
4400 304.746
4500 300.243
4600 298.585
4700 289.866
4800 293.254
4900 304.399
5000 302.091
5100 285.102
5200 299.981
5300 293.931
5400 296.817
5500 302.433
5600 295.585
5700 306.465
5800 296.216
5900 300.997
6000 301.962
6100 301.08
6200 301.37
6300 299.602
6400 292.548
6500 291.389
6600 291.047
6700 296.866
6800 294.635
6900 295.694
7000 304.815
7100 298.335
7200 288.68
7300 288.87
7400 316.384
7500 287.471
7600 285.439
7700 291.104
7800 297.998
7900 288.835
8000 300.186
8100 299.255
8200 288.05
8300 283.203
8400 284.428
8500 284.729
8600 298.1
8700 298.436
8800 297.507
8900 300.547
9000 304.069
9100 292.247
9200 294.402
9300 303.861
9400 302.653
9500 291.947
9600 298.873
9700 303.069
9800 300.138
9900 297.97
10000 301.185
10100 291.549
10200 300.085
10300 296.189
10400 297.961
10500 302.738
10600 300.524
10700 303.739
10800 294.736
10900 300.388
11000 299.326
11100 304.145
11200 286.858
11300 297.342
11400 297.96
11500 303.747
11600 289.565
11700 298.773
11800 306.527
11900 285.879
12000 284.798
12100 295.89
12200 300.124
12300 293.164
12400 295.271
12500 285.037
12600 287.975
12700 299.899
12800 290.463
12900 298.84
13000 298.795
13100 303.409
13200 299.92
13300 303.799
13400 291.167
13500 298.319
13600 298.234
13700 303.298
13800 294.008
13900 302.524
14000 300.297
14100 294.267
14200 296.44
14300 292.877
14400 299.687
14500 292.386
14600 283.295
14700 293.795
14800 306.496
14900 298.353
15000 308.494
15100 290.574
15200 296.586
15300 307.114
15400 297.877
15500 304.543
15600 298.076
15700 301.996
15800 299.376
15900 291.517
16000 303.086
16100 309.248
16200 313.659
16300 293.395
16400 301.718
16500 303.219
16600 295.645
16700 297.831
16800 309.336
16900 306.529
17000 301.15
17100 302.34
17200 302.846
17300 296.762
17400 294.75
17500 304.175
17600 309.975
17700 292.259
17800 306.254
17900 305.635
18000 296.869
18100 306.915
18200 296.049
18300 305.01
18400 289.936
18500 292.139
18600 290.16
18700 299.064
18800 296.279
18900 292.353
19000 303.531
19100 297.881
19200 302.36
19300 298.708
19400 296.015
19500 292.986
19600 313.893
19700 294.049
19800 291.955
19900 289.957
20000 294.17
20100 296.388
20200 297.239
20300 297.823
20400 300.984
20500 297.621
20600 295.909
20700 292.324
20800 281.483
20900 292.519
21000 295.288
21100 289.744
21200 294.747
21300 282.301
21400 286.27
21500 297.609
21600 290.857
21700 281.024
21800 295.505
21900 294.672
22000 290.504
22100 294.054
22200 297.846
22300 302.808
22400 297.728
22500 295.652
22600 299.486
22700 293.261
22800 281.116
22900 292.407
23000 297.438
23100 284.071
23200 295.059
23300 298.449
23400 296.374
23500 300.175
23600 301.779
23700 290.799
23800 295.251
23900 281.685
24000 292.598
24100 282.127
24200 307.418
24300 304.097
24400 304.127
24500 296.571
24600 292.473
24700 290.102
24800 302.705
24900 301.816
25000 306.075
25100 296.669
25200 302.752
25300 295.708
25400 297.839
25500 301.06
25600 293.276
25700 300.123
25800 299.586
25900 313.851
26000 300.094
26100 292.553
26200 298.114
26300 288.979
26400 309.122
26500 299.239
26600 301.037
26700 296.594
26800 307.094
26900 298.043
27000 288.803
27100 303.383
27200 306.047
27300 300.491
27400 296.87
27500 294.646
27600 301.789
27700 300.723
27800 309.35
27900 303.934
28000 301.911
28100 291.822
28200 306.12
28300 298.523
28400 297.273
28500 298.987
28600 305.483
28700 295.791
28800 303.318
28900 302.145
29000 298.512
29100 295.956
29200 292.402
29300 297.269
29400 296.331
29500 292.674
29600 300.393
29700 296.321
29800 305.647
29900 290.903
30000 291.03
30100 291.884
30200 301.645
30300 298.952
30400 292.56
30500 299.307
30600 291.322
30700 297.224
30800 298.931
30900 291.41
31000 307.028
31100 301.536
31200 298.695
31300 294.28
31400 299.099
31500 292.678
31600 298.592
31700 287.125
31800 303.393
31900 298.868
32000 303.604
32100 306.065
32200 297.125
32300 293.882
32400 303.759
32500 302.83
32600 304.288
32700 303.76
32800 295.848
32900 304.964
33000 304.172
33100 301.207
33200 293.409
33300 289.481
33400 305.769
33500 304.542
33600 298.963
33700 305.442
33800 308.051
33900 304.149
34000 312.709
34100 303.081
34200 307.85
34300 309.03
34400 295.575
34500 302.222
34600 300.623
34700 300.887
34800 298.824
34900 298.152
35000 300.139
35100 295.972
35200 304.795
35300 298.996
35400 305.854
35500 296.149
35600 306.299
35700 307.769
35800 302.965
35900 303.987
36000 305.133
36100 304.359
36200 308.576
36300 310.609
36400 292.487
36500 298.509
36600 314.486
36700 300.748
36800 293.099
36900 289.053
37000 294.853
37100 293.558
37200 302.484
37300 297.097
37400 302.865
37500 294
37600 306.619
37700 298.558
37800 303.654
37900 291.942
38000 296.047
38100 298.699
38200 301.61
38300 302.651
38400 298.668
38500 301.309
38600 290.859
38700 297.847
38800 303.144
38900 311.63
39000 302.303
39100 299.157
39200 303.917
39300 294.98
39400 298.658
39500 303.395
39600 294.162
39700 295.028
39800 295.863
39900 300.64
40000 316.612
40100 308.862
40200 304.306
40300 295.785
40400 307.976
40500 293.119
40600 302.389
40700 303.558
40800 307.866
40900 303.975
41000 298.468
41100 304.192
41200 297.757
41300 291.915
41400 307.307
41500 308.011
41600 305.012
41700 308.629
41800 305.853
41900 306.589
42000 303.947
42100 304.491
42200 295.524
42300 303.614
42400 304.942
42500 299.344
42600 293.981
42700 306.862
42800 303.901
42900 301
43000 285.866
43100 295.744
43200 301.486
43300 301.999
43400 300.864
43500 304.777
43600 291.208
43700 292.57
43800 304.128
43900 295.227
44000 291.259
44100 308.084
44200 295.648
44300 306.643
44400 304.589
44500 310.166
44600 299.878
44700 299.891
44800 303.383
44900 299.441
45000 306.278
45100 300.59
45200 310.527
45300 301.18
45400 304.706
45500 302.165
45600 303.769
45700 315.635
45800 295.252
45900 301.753
46000 303.24
46100 303.365
46200 296.497
46300 301.526
46400 296.494
46500 305.805
46600 292.293
46700 297.615
46800 306.676
46900 306.27
47000 303.465
47100 296.384
47200 295.907
47300 302.629
47400 298.855
47500 310.23
47600 299.968
47700 305.105
47800 299.735
47900 304.549
48000 302.395
48100 300.655
48200 302.794
48300 312.177
48400 299.473
48500 301.831
48600 305.626
48700 293.584
48800 300.811
48900 293.028
49000 290.779
49100 299.943
49200 296.385
49300 297.751
49400 313.666
49500 309.827
49600 303.237
49700 308.14
49800 303.975
49900 307.299
50000 308.78
50100 307.756
50200 298.501
50300 298.549
50400 298.612
50500 301.903
50600 316.992
50700 313.818
50800 306.195
50900 306.46
51000 313.36
51100 300.831
51200 296.376
51300 305.835
51400 300.382
51500 296.106
51600 297.612
51700 295.926
51800 304.06
51900 309.194
52000 297.28
52100 293.26
52200 314.89
52300 300.272
52400 294.978
52500 311.145
52600 303.642
52700 299.324
52800 299.325
52900 305.913
53000 301.558
53100 307.576
53200 310.893
53300 308.926
53400 302.067
53500 298.546
53600 298.919
53700 308.35
53800 319.186
53900 308.469
54000 305.929
54100 308.001
54200 304.093
54300 303.774
54400 297.834
54500 303.919
54600 307.558
54700 299.349
54800 312.049
54900 301.353
55000 303.294
55100 303.783
55200 300.609
55300 313.811
55400 298.701
55500 295.248
55600 309.149
55700 318.482
55800 310.36
55900 313.531
56000 315.3
56100 308.067
56200 303.717
56300 312.018
56400 311.141
56500 296.63
56600 307.919
56700 312.876
56800 302.433
56900 307.715
57000 301.802
57100 299.547
57200 298.975
57300 295.702
57400 304.277
57500 305.622
57600 305.008
57700 308.217
57800 303.457
57900 298.006
58000 305.937
58100 297.435
58200 300.06
58300 307.883
58400 297.86
58500 301.348
58600 302.057
58700 296.147
58800 309.129
58900 293.038
59000 295.512
59100 286.926
59200 296.803
59300 306.041
59400 299.305
59500 300.793
59600 296.267
59700 290.677
59800 296.001
59900 303.329
60000 298.735
60100 293.744
60200 296.557
60300 294.295
60400 298.205
60500 303.997
60600 295.537
60700 305.09
60800 305.252
60900 296.345
61000 301.447
61100 295.621
61200 302.548
61300 304.041
61400 298.056
61500 310.983
61600 298.616
61700 305.362
61800 307.825
61900 311.791
62000 306.702
62100 300.069
62200 308.642
62300 313.551
62400 312.189
62500 308.79
62600 287.713
62700 309.299
62800 300.988
62900 306.922
63000 303.816
63100 292.366
63200 297.186
63300 289.02
63400 303.914
63500 296.12
63600 300.917
63700 301.641
63800 297.405
63900 305.178
64000 307.749
64100 297.4
64200 305.766
64300 306.076
64400 306.28
64500 307.138
64600 294.953
64700 299.678
64800 303.249
64900 297.405
65000 297.362
65100 300.886
65200 314.941
65300 292.116
65400 304.034
65500 313.867
65600 306.414
65700 298.165
65800 308.816
65900 295.329
66000 294.578
66100 305.752
66200 306.442
66300 301.875
66400 307.129
66500 306.755
66600 298.187
66700 305.68
66800 303.334
66900 309.465
67000 300.787
67100 300.666
67200 292.15
67300 303.724
67400 298.09
67500 300.97
67600 299.945
67700 316.761
67800 311.401
67900 308.765
68000 307.831
68100 304.272
68200 304.285
68300 312.41
68400 316.203
68500 289.828
68600 291.413
68700 293.321
68800 301.18
68900 299.723
69000 302.041
69100 297.005
69200 296.473
69300 313.69
69400 306.818
69500 298.499
69600 320.009
69700 297.302
69800 295.982
69900 296
70000 303.184
70100 306.578
70200 298.419
70300 298.194
70400 305.558
70500 308.272
70600 309.91
70700 300.508
70800 301.201
70900 305.072
71000 294.715
71100 298.66
71200 308.976
71300 299.271
71400 310.574
71500 296.932
71600 298.473
71700 297.832
71800 294.095
71900 300.452
72000 292.006
72100 288.407
72200 308.7
72300 303.666
72400 292.149
72500 314.078
72600 301.151
72700 295.541
72800 294.623
72900 301.724
73000 306.935
73100 301.07
73200 297.627
73300 297.406
73400 296.61
73500 305.104
73600 302.964
73700 301.714
73800 308.456
73900 294.105
74000 298.697
74100 299.417
74200 301.833
74300 299.514
74400 298.394
74500 306.85
74600 304.978
74700 296.118
74800 304.382
74900 300.251
75000 292.061
75100 298.794
75200 314.918
75300 303.823
75400 300.24
75500 298.543
75600 290.686
75700 301.253
75800 300.869
75900 310.606
76000 298.277
76100 286.542
76200 297.515
76300 296.651
76400 305.811
76500 302.058
76600 291.605
76700 288.02
76800 306.28
76900 298.93
77000 290.758
77100 300.741
77200 302.77
77300 300.516
77400 300.346
77500 307.231
77600 294.063
77700 296.394
77800 296.579
77900 302.439
78000 304.964
78100 300.177
78200 295.784
78300 305.502
78400 308.741
78500 302.538
78600 296.366
78700 298.649
78800 300.062
78900 298.068
79000 294.04
79100 302.622
79200 306.274
79300 308.528
79400 305.697
79500 299.219
79600 296.377
79700 294.898
79800 308.673
79900 306.589
80000 305.481
80100 308.259
80200 302.614
80300 303.496
80400 305.75
80500 309.087
80600 307.953
80700 294.176
80800 300.69
80900 300.19
81000 301.389
81100 309.847
81200 309.124
81300 296.01
81400 305.294
81500 303.217
81600 291.386
81700 299.134
81800 307.453
81900 296.745
82000 298.248
82100 312.497
82200 303.116
82300 312.874
82400 306.743
82500 295.409
82600 298.207
82700 296.949
82800 300.92
82900 299.245
83000 294.594
83100 300.61
83200 296.643
83300 299.598
83400 292.944
83500 306.342
83600 319.832
83700 315.254
83800 313.162
83900 302.352
84000 295.892
84100 305.995
84200 308.825
84300 303.959
84400 308.262
84500 300.334
84600 301.309
84700 312.421
84800 296.284
84900 309.132
85000 303.166
85100 316.171
85200 308.388
85300 309.606
85400 300.42
85500 294.991
85600 314.352
85700 304.626
85800 301.698
85900 309.14
86000 296.162
86100 292.005
86200 306.419
86300 296.729
86400 292.866
86500 293.624
86600 296.647
86700 307.19
86800 296.606
86900 313.788
87000 302.458
87100 303.419
87200 304.962
87300 315.5
87400 305.751
87500 308.194
87600 308.139
87700 311.855
87800 318.593
87900 303.98
88000 315.487
88100 309.034
88200 311.761
88300 325.188
88400 302.352
88500 305.889
88600 312.862
88700 306.66
88800 305.96
88900 313.22
89000 308.425
89100 297.049
89200 305.957
89300 303.458
89400 310.718
89500 311.563
89600 303.332
89700 307.582
89800 302.151
89900 291.562
90000 312.115
90100 307.811
90200 303.582
90300 304.263
90400 321.123
90500 304.36
90600 314.971
90700 302.593
90800 308.308
90900 303.794
91000 306.166
91100 303.36
91200 309.521
91300 294.889
91400 299.308
91500 305.36
91600 308.539
91700 291.794
91800 294.592
91900 313.798
92000 298.592
92100 305.004
92200 313.48
92300 313.391
92400 313.628
92500 312.182
92600 305.64
92700 304.876
92800 303.67
92900 312.472
93000 310.51
93100 317.535
93200 304.684
93300 308.998
93400 314.032
93500 305.396
93600 303.166
93700 312.684
93800 313.846
93900 304.678
94000 316.809
94100 315.333
94200 306.734
94300 308.262
94400 311.476
94500 315.169
94600 306.1
94700 305.651
94800 305.742
94900 305.132
95000 300.673
95100 299.437
95200 295.657
95300 303.718
95400 298.018
95500 299.72
95600 306.618
95700 303.617
95800 310.065
95900 308.748
96000 307.673
96100 297.342
96200 300.835
96300 291.929
96400 314.693
96500 293.287
96600 309.648
96700 313.22
96800 293.478
96900 298.995
97000 299.606
97100 302.689
97200 306.84
97300 288.802
97400 303.28
97500 307.791
97600 303.306
97700 313.852
97800 315.493
97900 310.544
98000 299.022
98100 306.564
98200 290.581
98300 306.885
98400 305.847
98500 300.114
98600 315.649
98700 300.875
98800 287.935
98900 290.01
99000 317.168
99100 298.096
99200 294.144
99300 293.681
99400 308.465
99500 297.934
99600 317.154
99700 306.966
99800 307.626
99900 310.601
100000 314.061
