# Time-averaged data for fix fpxz
# TimeStep v_pxz
100 158.27
200 -77.509
300 -298.57
400 191.171
500 -73.962
600 -422.21
700 -809.96
800 -94.6655
900 -674.153
1000 -739.831
1100 -494.26
1200 -376.016
1300 296.127
1400 -254.007
1500 -73.962
1600 -140.496
1700 27.3762
1800 -528.823
1900 -313.121
2000 -223.529
2100 -79.6321
2200 -698.617
2300 148.929
2400 -169.352
2500 345.12
2600 206.944
2700 -91.2628
2800 333.844
2900 675.524
3000 160.58
3100 122.651
3200 174.896
3300 624.156
3400 -432.605
3500 -174.679
3600 -17.1898
3700 808.845
3800 -55.7571
3900 20.2969
4000 74.4
4100 54.9344
4200 21.8354
4300 402.746
4400 -59.5255
4500 -109.531
4600 -187.219
4700 224.235
4800 62.536
4900 -81.7574
5000 -716.211
5100 -361.243
5200 -480.868
5300 -165.386
5400 -443.457
5500 -417.618
5600 129.775
5700 -80.82
5800 -150.546
5900 -621.445
6000 -607.61
6100 -948.457
6200 -372.485
6300 -759.294
6400 -457.222
6500 -579.785
6600 -655.618
6700 -526.877
6800 -435.197
6900 -143.65
7000 -742.094
7100 -814.072
7200 -373.394
7300 -849.619
7400 -715.27
7500 -721.261
7600 -971.006
7700 -427.572
7800 -381.783
7900 -909.33
8000 -607.528
8100 -467.336
8200 -842.195
8300 -361.862
8400 -298.536
8500 -645.614
8600 -284.046
8700 94.3089
8800 179.056
8900 -171.56
9000 -238.993
9100 -405.916
9200 -307.893
9300 -171.83
9400 -302.535
9500 107.95
9600 -604.092
9700 -573.448
9800 -557.52
9900 -571.345
10000 -551.838
10100 -503.737
10200 -193.389
10300 -855.332
10400 -213.423
10500 -400.493
10600 116.245
10700 -394.804
10800 -218.624
10900 183.472
11000 -264.638
11100 27.3382
11200 235.967
11300 -59.8957
11400 475.764
11500 -185.839
11600 -1.72582
11700 -164.743
11800 -555.532
11900 -327.579
12000 -475.327
12100 -776.22
12200 -982.129
12300 -264.716
12400 338.058
12500 -365.741
12600 -124.466
12700 -393.234
12800 -581.37
12900 72.391
13000 -86.0144
13100 161.792
13200 -614.134
13300 -125.068
13400 112.953
13500 -122.868
13600 -401.574
13700 -634.845
13800 -678.887
13900 -182.864
14000 -318.568
14100 -307.635
14200 267.075
14300 -591.151
14400 521.104
14500 -61.4172
14600 -187.463
14700 -18.1845
14800 110.106
14900 -159.754
15000 -236.45
15100 -262.656
15200 -181.254
15300 91.2839
15400 -340.584
15500 21.928
15600 -258.75
15700 -488.195
15800 -350.317
15900 -570.364
16000 -1041.56
16100 -925.631
16200 -600.731
16300 -414.328
16400 -499.253
16500 -99.4885
16600 -455.155
16700 16.6159
16800 -220.443
16900 -402.657
17000 -541.26
17100 -446.418
17200 -556.497
17300 -346.333
17400 193.704
17500 -208.74
17600 368.224
17700 -123.186
17800 -262.765
17900 -136.919
18000 30.385
18100 281.919
18200 -216.856
18300 356.703
18400 -208.82
18500 -168.984
18600 -11.874
18700 -121.754
18800 -77.6436
18900 269.083
19000 -263.882
19100 -74.9758
19200 369.988
19300 -711.062
19400 -392.868
19500 -612.815
19600 -149.48
19700 -140.201
19800 -180.379
19900 -67.6828
20000 -314.772
20100 -295.05
20200 -413.903
20300 150.176
20400 -35.8196
20500 -66.5927
20600 -576.84
20700 -100.519
20800 36.6266
20900 34.0264
21000 182.078
21100 -33.3575
21200 -685.214
21300 -146.88
21400 73.5132
21500 -51.3812
21600 -900.043
21700 -263.169
21800 -483.698
21900 -134.803
22000 -329.185
22100 -221.926
22200 0.896031
22300 -74.5592
22400 -571.757
22500 442.756
22600 -283.535
22700 199.717
22800 -103.147
22900 -259.555
23000 -389.698
23100 -341.096
23200 -340.379
23300 -345.159
23400 229.089
23500 220.907
23600 -128.061
23700 124.686
23800 -4.11865
23900 -18.3563
24000 -160.725
24100 -415.293
24200 -140.652
24300 -247.556
24400 175.905
24500 -218.71
24600 -346.788
24700 131.156
24800 -230.109
24900 -189.976
25000 -122.487
25100 330.197
25200 -281.656
25300 -421.883
25400 5.99866
25500 -668.008
25600 34.512
25700 -59.3572
25800 -210.562
25900 -325.603
26000 -361.645
26100 486.632
26200 244.456
26300 -24.6794
26400 -328.653
26500 -405.321
26600 -463.424
26700 -344.368
26800 -677.143
26900 -350.224
27000 -451.336
27100 -785.687
27200 -303.297
27300 -636.149
27400 -152.671
27500 16.4006
27600 -545.109
27700 -373.32
27800 431.119
27900 -429.445
28000 375.884
28100 -723.191
28200 -225.709
28300 -270.397
28400 -682.981
28500 -592.771
28600 -274.741
28700 -230.064
28800 -504.159
28900 -444.56
29000 -57.4591
29100 -462.55
29200 -22.6596
29300 317.278
29400 -176.743
29500 -361.854
29600 -751.367
29700 -479.238
29800 -118.42
29900 -789.662
30000 -225.771
30100 -305.75
30200 -262.447
30300 -453.105
30400 -68.5053
30500 -182.085
30600 86.3559
30700 -70.0449
30800 -685.2
30900 -397.091
31000 -527.566
31100 -267.956
31200 -137.505
31300 -264.518
31400 -278.588
31500 -241.902
31600 -447.899
31700 412.584
31800 217.038
31900 43.6611
32000 234.501
32100 75.1401
32200 -21.0265
32300 -717.211
32400 -108.614
32500 -267.299
32600 -259.062
32700 267.878
32800 190.935
32900 385.312
33000 -232.605
33100 175.347
33200 -359.319
33300 1.85758
33400 -50.6444
33500 91.8744
33600 190.778
33700 -24.6003
33800 -84.1249
33900 -199.203
34000 -488.017
34100 -523.975
34200 -311.177
34300 -701.077
34400 -402.263
34500 -386.821
34600 -192.396
34700 -158.491
34800 130.981
34900 -62.6899
35000 -174.847
35100 27.1694
35200 186.929
35300 -441.213
35400 -204.595
35500 -573.357
35600 -286.551
35700 -399.562
35800 -241.231
35900 -55.424
36000 16.6821
36100 45.466
36200 -720.721
36300 -69.5097
36400 -100.319
36500 36.0118
36600 -551.77
36700 -737.477
36800 -54.63
36900 -507.546
37000 -589.36
37100 -331.585
37200 147.13
37300 -220.305
37400 -82.3577
37500 -526.513
37600 -380.592
37700 -105.044
37800 26.231
37900 12.7954
38000 -569.562
38100 227.686
38200 -400.501
38300 -176.956
38400 -594.052
38500 -88.4662
38600 -146.657
38700 -368.179
38800 155.451
38900 -10.1044
39000 187.784
39100 226.596
39200 258.762
39300 -22.5457
39400 -353.162
39500 92.5961
39600 148.342
39700 -217.787
39800 -72.6563
39900 -573.777
40000 -129.901
40100 90.864
40200 -427.716
40300 -415.228
40400 215.651
40500 172.84
40600 275.907
40700 145.601
40800 299.7
40900 415.45
41000 -71.7308
41100 -65.4707
41200 341.632
41300 -394.935
41400 -342.9
41500 -281.593
41600 -557.248
41700 144.97
41800 -331.612
41900 -207.832
42000 -60.9094
42100 458.926
42200 -239.567
42300 -272.915
42400 -215.175
42500 -351.095
42600 327.088
42700 299.458
42800 -138.876
42900 347.346
43000 64.9478
43100 239.787
43200 142.686
43300 27.9144
43400 60.1692
43500 26.2492
43600 220.049
43700 90.1823
43800 151.817
43900 -548.667
44000 256.498
44100 -810.911
44200 -73.04
44300 129.537
44400 -423.892
44500 -363.187
44600 -290.112
44700 -299.84
44800 -466.682
44900 -846.995
45000 -102.288
45100 87.6975
45200 -500.04
45300 -322.072
45400 340.605
45500 -587.648
45600 -1126.61
45700 -989.629
45800 -631.052
45900 -603.456
46000 -757.468
46100 -609.215
46200 -486.869
46300 -783.958
46400 -518.936
46500 -337.456
46600 -491.433
46700 -190.788
46800 -231.74
46900 16.099
47000 -29.7529
47100 -190.1
47200 87.2784
47300 -118.429
47400 -301.216
47500 -259.775
47600 -99.0053
47700 120.676
47800 -45.3409
47900 212.551
48000 506.532
48100 444.596
48200 -129.774
48300 -232.315
48400 353.866
48500 -523.099
48600 3.45761
48700 -241.117
48800 19.2908
48900 -610.767
49000 -720.658
49100 -223.568
49200 -619.155
49300 -377.002
49400 -256.717
49500 -393.809
49600 -143.522
49700 -71.6205
49800 -150.163
49900 -43.2353
50000 -359.017
50100 -363.036
50200 -196.982
50300 -199.081
50400 190.849
50500 -245.583
50600 -659.222
50700 -494.405
50800 -522.521
50900 -52.2806
51000 -364.85
51100 -450.542
51200 434.27
51300 200.912
51400 -333.568
51500 189.772
51600 26.7611
51700 -540.108
51800 -421.659
51900 -100.441
52000 -633.961
52100 -437.51
52200 -70.1545
52300 -178.003
52400 -375.458
52500 106.303
52600 -678.77
52700 -348.239
52800 -555.19
52900 -372.856
53000 440.327
53100 9.73741
53200 -68.6658
53300 -710.663
53400 -39.5649
53500 46.6859
53600 -431.148
53700 -40.7936
53800 -87.7768
53900 10.4901
54000 -497.533
54100 67.3846
54200 -292.218
54300 -266.408
54400 -162.72
54500 -361.69
54600 -359.5
54700 -151.552
54800 -341.775
54900 -401.262
55000 -564.645
55100 -715.874
55200 -421.505
55300 -392.33
55400 -452.703
55500 270.578
55600 25.663
55700 504.044
55800 265.825
55900 -281.412
56000 39.8515
56100 -510.188
56200 11.5258
56300 -172.558
56400 -286.395
56500 -162.023
56600 -191.893
56700 -478.293
56800 -107.694
56900 -465.178
57000 -596.282
57100 225.837
57200 293.915
57300 -121.523
57400 -227.435
57500 65.6481
57600 -572.144
57700 -15.5042
57800 -314.546
57900 -227.053
58000 -436.766
58100 -330.531
58200 -178.028
58300 -200.68
58400 -554.191
58500 -693.23
58600 -105.571
58700 -45.0976
58800 -455.195
58900 162.52
59000 -401.686
59100 -628.606
59200 -636.362
59300 -374.252
59400 -1061.34
59500 -778.4
59600 -1453.32
59700 -1094.97
59800 -903.418
59900 -573.61
60000 -388.21
60100 -89.2365
60200 -733.3
60300 -358.446
60400 -434.684
60500 -715.71
60600 -94.4155
60700 -269.737
60800 109.982
60900 -376.319
61000 -156.376
61100 -732.009
61200 -347.412
61300 -4.63091
61400 -227.661
61500 98.0908
61600 -170.349
61700 -768.254
61800 -483.771
61900 -857.093
62000 137.04
62100 -412.217
62200 -373.016
62300 -420.141
62400 -571.553
62500 -263.271
62600 -521.779
62700 -124.498
62800 185.216
62900 -457.446
63000 79.8446
63100 -398.542
63200 -384.957
63300 323.632
63400 -440.404
63500 -128.843
63600 112.661
63700 773.665
63800 -360.44
63900 -331.361
64000 -429.085
64100 -125.919
64200 -79.4569
64300 224.91
64400 302.395
64500 283.793
64600 587.216
64700 -555.996
64800 33.8869
64900 -420.274
65000 -53.5221
65100 -148.991
65200 -470.949
65300 -416.067
65400 -576.936
65500 -39.3046
65600 -424.26
65700 -400.596
65800 -99.3476
65900 363.514
66000 -190.085
66100 -502.147
66200 -210.87
66300 -531.363
66400 -655.768
66500 -610.064
66600 -419.67
66700 -487.005
66800 -43.1132
66900 -550.745
67000 -731.94
67100 -480.311
67200 68.562
67300 -523.508
67400 99.9002
67500 -613.294
67600 -310.669
67700 -300.344
67800 -196.365
67900 -90.4553
68000 -331.96
68100 -624.704
68200 41.7946
68300 160.468
68400 118.377
68500 150.5
68600 17.5077
68700 84.6764
68800 -212.121
68900 -417.668
69000 -122.48
69100 -384.618
69200 -465.415
69300 -244.264
69400 -278.74
69500 339.404
69600 -265.515
69700 -8.88892
69800 -418.492
69900 -2.34021
70000 -10.7748
70100 -232.888
70200 -648.27
70300 -288.736
70400 379.695
70500 -360.149
70600 -70.4652
70700 -21.8013
70800 7.15392
70900 26.7704
71000 59.5499
71100 -127.129
71200 101.991
71300 -338.127
71400 114.41
71500 -350.114
71600 234.966
71700 -74.2976
71800 353.814
71900 159.506
72000 4.15545
72100 -398.517
72200 -142.043
72300 -376.608
72400 255.611
72500 -113.372
72600 -498.088
72700 -457.087
72800 -560.954
72900 -475.783
73000 -523.45
73100 159.315
73200 -614.48
73300 -369.427
73400 -147.725
73500 -254.464
73600 -562.258
73700 -135.479
73800 192.105
73900 -589.486
74000 47.7546
74100 -536.955
74200 -403.807
74300 -687.908
74400 27.7595
74500 -542.906
74600 -586.048
74700 -563.684
74800 -376.037
74900 -610.3
75000 -259.734
75100 -132.944
75200 -297.765
75300 -162.187
75400 -286.319
75500 170.255
75600 163.862
75700 -161.595
75800 -226.71
75900 -212.881
76000 -422.394
76100 -537.52
76200 -548.251
76300 -61.9104
76400 130.513
76500 -460.239
76600 -605.059
76700 -323.648
76800 -1094.07
76900 -161.516
77000 -742.329
77100 -629.469
77200 -763.028
77300 -450.79
77400 -795.634
77500 -565.599
77600 -50.4477
77700 219.407
77800 -218.283
77900 591.414
78000 -368.949
78100 -423.859
78200 -497.525
78300 313.605
78400 93.2914
78500 -269.871
78600 322.445
78700 -152.992
78800 91.9197
78900 294.822
79000 -92.5271
79100 -311.494
79200 -200.5
79300 -112.556
79400 -298.607
79500 -31.7054
79600 -158.676
79700 50.5299
79800 -313.983
79900 617.777
80000 237.627
80100 -391.724
80200 -422.289
80300 -448.32
80400 -331.182
80500 -393.943
80600 -258.96
80700 -271.508
80800 -108.83
80900 -138.151
81000 -315.301
81100 33.4485
81200 35.9648
81300 -315.57
81400 -287.054
81500 199.353
81600 -88.0483
81700 -428.918
81800 -610.835
81900 -411.302
82000 -360.601
82100 -206.062
82200 -123.167
82300 -336.584
82400 -704.301
82500 38.3981
82600 -665.134
82700 -1080.11
82800 -787.488
82900 -819.372
83000 -1113.25
83100 -1024.15
83200 -229.225
83300 -503.667
83400 -117.804
83500 78.0394
83600 -419.524
83700 88.9438
83800 67.8511
83900 47.0108
84000 -428.884
84100 -202.082
84200 -1197.75
84300 -289.584
84400 -198.112
84500 -336.988
84600 -453.522
84700 -628.526
84800 -608.656
84900 -447.996
85000 -401.872
85100 -499.044
85200 -436.081
85300 -699.903
85400 -83.2934
85500 -332.47
85600 -551.504
85700 30.2804
85800 -531.475
85900 -796.315
86000 -434.337
86100 -197.924
86200 -521.023
86300 -816.446
86400 -468.513
86500 -349.467
86600 -485.187
86700 -156.822
86800 -235.182
86900 -60.5466
87000 -227.95
87100 131.103
87200 -231.687
87300 -508.632
87400 -350.652
87500 -436.433
87600 -326.258
87700 -62.974
87800 -149.501
87900 -777.861
88000 158.334
88100 -345.11
88200 -217.855
88300 -85.9676
88400 -459.782
88500 -473.427
88600 -822.918
88700 -325.776
88800 -472.247
88900 -521.363
89000 -335.95
89100 -772.849
89200 -207.392
89300 -441.181
89400 -359.615
89500 -636.813
89600 -182.857
89700 399.305
89800 285.358
89900 -221.445
90000 -188.936
90100 -428.559
90200 -370.567
90300 -108.456
90400 11.7741
90500 -373.214
90600 -556.229
90700 -33.8117
90800 -392.106
90900 49.4552
91000 -222.824
91100 128.386
91200 -128.405
91300 -94.8494
91400 -522.855
91500 198.565
91600 -67.3157
91700 202.43
91800 -21.2003
91900 -340.711
92000 245.729
92100 -305.028
92200 198.772
92300 -377.354
92400 61.6987
92500 -270.219
92600 -527.229
92700 -8.38835
92800 -53.246
92900 -34.915
93000 -67.9478
93100 -296.501
93200 -184.767
93300 -681.431
93400 -215.67
93500 -368.118
93600 107.444
93700 -238.736
93800 -245.374
93900 -290.522
94000 -209.014
94100 212.153
94200 148.412
94300 -147.502
94400 -10.4206
94500 -128.847
94600 348.738
94700 24.9559
94800 32.9519
94900 -519.142
95000 134.557
95100 -364.023
95200 -240.731
95300 220.481
95400 -276.763
95500 -517.196
95600 -312.452
95700 -417.65
95800 -1.77398
95900 -274.922
96000 -391.24
96100 -111.345
96200 156.091
96300 43.2701
96400 -380.668
96500 -308.512
96600 -49.814
96700 219.308
96800 127.365
96900 64.2011
97000 -284.83
97100 394.328
97200 69.8062
97300 -106.091
