# Time-averaged data for fix tout
# TimeStep c_watT
0 297.591
100 306.242
200 307.143
300 300.744
400 305.587
500 307.896
600 304.643
700 293.523
800 295.861
900 305.47
1000 308.751
1100 306.211
1200 296.629
1300 299.33
1400 318.479
1500 304.302
1600 305.855
1700 302.65
1800 290.844
1900 312.641
2000 294.264
2100 292.003
2200 305.248
2300 304.939
2400 301.106
2500 297.169
2600 302.463
2700 308.194
2800 302.424
2900 303.232
3000 303.429
3100 295.53
3200 314.295
3300 303.041
3400 293.15
3500 294.411
3600 285.694
3700 301.263
3800 305.536
3900 302.423
4000 304.721
4100 314.361
4200 298.772
4300 301.174
4400 305.143
4500 314.013
4600 307.774
4700 299.068
4800 298.045
4900 299.323
5000 295.355
5100 301.304
5200 302.866
5300 295.805
5400 298.008
5500 296.048
5600 291.241
5700 302.872
5800 300.109
5900 302.442
6000 306.522
6100 299.648
6200 290.055
6300 305.494
6400 307.218
6500 306.249
6600 298.523
6700 299.154
6800 302.593
6900 306.147
7000 302.278
7100 308.883
7200 296.759
7300 295.519
7400 304.147
7500 310.848
7600 301.89
7700 301.816
7800 294.017
7900 303.077
8000 300.069
8100 308.497
8200 306.093
8300 296.755
8400 302.764
8500 296.257
8600 294.197
8700 304.679
8800 300.593
8900 301.557
9000 296.362
9100 297.971
9200 310.31
9300 302.115
9400 300.968
9500 295.98
9600 297.971
9700 302.427
9800 302.457
9900 308.801
10000 295.205
10100 304.513
10200 295.786
10300 305.758
10400 288.349
10500 292.177
10600 292.886
10700 302.797
10800 298.938
10900 305.012
11000 291.271
11100 301.39
11200 298.027
11300 290.551
11400 299.845
11500 294.835
11600 287.381
11700 294.718
11800 310.533
11900 295.11
12000 291.813
12100 309.293
12200 305.918
12300 314.247
12400 307.238
12500 296.977
12600 313.942
12700 301.765
12800 299.755
12900 308.958
13000 305.165
13100 299.292
13200 301.318
13300 296.92
13400 303.724
13500 289.679
13600 301.047
13700 298.171
13800 305.109
13900 303.698
14000 301.553
14100 302.402
14200 304.108
14300 290.141
14400 313.916
14500 301.08
14600 301.153
14700 295.95
14800 312.059
14900 298.13
15000 299.547
15100 304.896
15200 299.885
15300 302.906
15400 307.003
15500 306.278
15600 312.727
15700 295.145
15800 315.519
15900 301.028
16000 310.118
16100 309.818
16200 302.757
16300 304.482
16400 298.574
16500 305.12
16600 297.977
16700 306.099
16800 289.877
16900 300.682
17000 293.57
17100 295.853
17200 304.655
17300 296.981
17400 306.372
17500 293.689
17600 305.32
17700 304.484
17800 310.794
17900 302.868
18000 305.934
18100 297.803
18200 302.359
18300 308.703
18400 313.708
18500 312.697
18600 304.783
18700 306.395
18800 293.386
18900 300.593
19000 296.359
19100 298.746
19200 313.007
19300 303.969
19400 313.468
19500 298.953
19600 295.926
19700 313.944
19800 312.048
19900 314.987
20000 303.436
20100 306.63
20200 298.508
20300 311.971
20400 314.445
20500 305.476
20600 304.956
20700 305.993
20800 298.868
20900 310.691
21000 318.011
21100 308.937
21200 312.455
21300 310.686
21400 297.497
21500 296.855
21600 304.193
21700 299.712
21800 299.393
21900 309.73
22000 304.57
22100 300.162
22200 308.948
22300 311.143
22400 310.426
22500 304.25
22600 308.913
22700 296.672
22800 302.596
22900 309.617
23000 297.274
23100 300.568
23200 308.373
23300 300.126
23400 297.261
23500 298.622
23600 298.819
23700 298.807
23800 301.333
23900 308.623
24000 302.325
24100 305.257
24200 294.758
24300 293.735
24400 294.276
24500 299.91
24600 292.964
24700 307.711
24800 296.741
24900 311.627
25000 301.341
25100 300.094
25200 296.319
25300 304.258
25400 297.066
25500 312.133
25600 303.256
25700 312.921
25800 297.986
25900 299.664
26000 307.681
26100 298.158
26200 308.336
26300 309.348
26400 309.418
26500 294.54
26600 298.907
26700 305.512
26800 313.921
26900 303.324
27000 299.024
27100 300.075
27200 298.929
27300 310.982
27400 305.836
27500 297.429
27600 292.787
27700 303.71
27800 294.279
27900 306.105
28000 303.076
28100 297.581
28200 302.675
28300 300.517
28400 313.184
28500 307.006
28600 296.301
28700 287.606
28800 300.045
28900 306.123
29000 308.394
29100 295.132
29200 297.609
29300 302.401
29400 309.785
29500 301.49
29600 309.122
29700 303.754
29800 301.387
29900 308.636
30000 302.958
30100 302.608
30200 303.513
30300 311.279
30400 309.105
30500 308.45
30600 307.867
30700 298.694
30800 308.707
30900 300.604
31000 294.475
31100 298.849
31200 295.358
31300 302.465
31400 310.14
31500 296.479
31600 292.104
31700 299.424
31800 297.507
31900 297.65
32000 298.388
32100 297.835
32200 300.321
32300 302.237
32400 305.044
32500 299.4
32600 285.861
32700 303.752
32800 314.606
32900 303.912
33000 310.174
33100 298.067
33200 309.599
33300 308.175
33400 309.327
33500 306.777
33600 311.991
33700 320.164
33800 311.862
33900 298.535
34000 304.83
34100 302.1
34200 300.391
34300 293.892
34400 301.145
34500 297.244
34600 308.13
34700 311.607
34800 300.529
34900 311.57
35000 307.474
35100 299.906
35200 304.295
35300 303.847
35400 305.264
35500 319.651
35600 313.149
35700 309.811
35800 294.682
35900 290.629
36000 310.445
36100 304.996
36200 296.031
36300 305.367
